t,sandLine
v,-128,94,5,24
v,-124,93,5,24
t,grassTop
v,-128,60,3,8
t,tomceji
v,-128,89,5,27
v,-128,60,3,8
v,-128,106,0,3
v,-122,94,5,24
v,-128,94,5,25
v,-128,93,5,25
v,-122,93,5,24
t,mountain
v,-126,38,4,5
v,-127,38,4,6
v,96,38,4,3
v,-100,38,4,4
v,-124,21,1,3
v,-125,21,1,2
v,64,15,5,6
v,96,38,6,7
v,-97,38,6,6
v,0,38,9,0
v,64,5,9,1
v,-68,5,9,0
v,127,2,7,1
v,-68,15,5,7
v,0,36,3,0
v,-32,36,3,1
v,0,46,6,4
v,-114,46,6,1
v,-127,46,6,0
v,-127,36,3,3
v,-32,46,6,3
v,-112,46,6,2
v,-97,36,3,2
v,-64,10,5,3
v,0,10,5,2
v,-121,42,6,2
v,-120,42,6,3
v,112,31,4,7
v,-127,42,4,3
v,-122,42,4,2
v,-96,42,6,5
v,-112,42,6,4
v,-104,42,4,1
v,-80,10,5,4
v,96,42,4,0
v,-113,10,5,5
v,64,42,6,6
v,-114,13,4,3
v,-80,13,4,2
v,-127,13,4,4
v,0,10,9,5
v,-64,10,9,4
v,-125,10,9,1
v,-80,10,9,3
v,-116,10,9,2
v,-125,10,7,7
v,-125,33,8,3
v,64,13,4,1
v,-96,33,8,6
v,64,33,8,7
v,-124,33,8,4
v,-104,33,8,5
v,124,43,7,1
v,-2,12,8,7
v,-125,43,7,0
v,64,37,7,7
v,64,11,5,3
v,-96,11,5,4
v,-113,37,7,5
v,-104,11,5,5
v,-65,50,5,0
v,-72,37,7,6
v,-121,11,5,6
v,-127,12,8,6
v,127,3,7,2
v,-127,11,7,7
v,-80,17,4,4
v,-125,34,8,2
v,-116,17,4,5
v,64,17,4,3
v,-80,34,8,5
v,-127,21,8,7
v,-64,34,8,6
v,-124,34,8,3
v,-116,34,8,4
v,0,34,8,7
v,-126,17,4,6
v,-127,17,4,7
v,0,17,2,0
v,0,12,4,0
v,-100,12,4,2
v,-32,12,4,1
v,124,12,6,7
v,0,32,9,2
v,-32,32,9,1
v,-104,32,9,0
v,-116,27,9,1
v,-125,27,9,0
v,64,27,9,4
v,-96,27,9,3
v,-112,27,9,2
v,-125,12,4,3
v,64,25,2,2
v,-121,25,2,1
v,-120,25,2,0
v,-124,27,2,1
v,-126,27,2,2
v,-127,27,2,3
v,-116,27,0,0
v,-125,27,0,1
v,-120,27,2,0
v,-127,12,0,0
v,-16,25,0,0
v,-97,9,5,4
v,64,9,5,2
v,-120,25,0,1
v,-96,9,5,3
v,-121,25,0,2
v,-64,23,3,1
v,0,23,3,0
v,96,4,8,2
v,-104,4,8,1
v,-120,23,3,3
v,-121,4,8,0
v,-80,23,3,2
v,-122,23,3,4
v,0,4,6,0
v,-127,23,3,5
v,-64,4,6,1
v,-80,4,6,2
v,-113,4,6,3
v,-96,20,4,5
v,64,20,4,4
v,127,1,7,0
v,-96,21,3,1
v,-64,21,3,0
v,-104,20,4,6
v,-122,21,3,3
v,-122,20,4,7
v,-104,21,3,2
v,-127,21,3,4
v,0,7,5,0
v,64,7,5,1
v,-65,7,5,2
v,-120,31,2,0
v,-124,31,2,1
v,-126,31,2,2
v,-127,31,2,3
v,-32,6,8,3
v,-64,22,0,0
v,-98,6,8,2
v,-96,22,0,1
v,-112,22,0,2
v,0,6,8,4
v,-114,22,0,3
v,-127,8,6,7
v,-127,6,8,1
v,-126,8,6,6
v,-124,8,6,5
v,96,37,5,7
v,-72,8,6,4
v,96,8,6,3
v,64,6,6,1
v,-8,8,8,4
v,-32,6,6,2
v,0,8,8,5
v,-112,6,6,3
v,-121,8,8,3
v,96,19,9,7
v,-116,6,6,4
v,-125,6,6,5
v,-120,26,3,4
v,-16,26,3,3
v,0,26,3,2
v,-127,26,3,6
v,-122,26,3,5
v,-127,8,4,1
v,-122,8,4,0
v,0,45,5,1
v,0,37,9,0
v,-120,45,5,3
v,-16,45,5,2
v,-125,45,5,5
v,-124,45,5,4
v,64,14,1,2
v,-120,14,1,0
v,-80,14,1,1
v,-127,9,7,6
v,96,35,8,5
v,-32,39,8,2
v,126,9,7,7
v,-104,35,8,4
v,0,39,8,3
v,-124,35,8,3
v,-126,35,8,2
v,-127,35,8,1
v,-125,39,8,0
v,0,35,8,6
v,-100,39,8,1
v,-97,39,6,5
v,0,39,6,7
v,-32,39,6,6
v,-125,37,4,6
v,-116,37,4,5
v,-16,37,4,4
v,-113,34,3,4
v,0,37,4,3
v,-80,18,3,0
v,-116,18,3,1
v,0,14,10,2
v,-96,14,10,0
v,-125,18,3,2
v,-64,14,10,1
v,0,34,3,1
v,-112,34,3,3
v,-32,34,3,2
v,-125,23,9,2
v,-116,23,9,3
v,-80,23,9,4
v,-64,23,9,5
v,-127,28,3,7
v,64,19,2,0
v,-127,33,2,1
v,-1,5,5,0
v,-120,33,4,7
v,-120,18,0,1
v,-114,33,2,0
v,-128,5,5,1
v,96,28,3,4
v,-80,33,4,6
v,-124,18,0,2
v,-100,28,3,5
v,64,33,4,5
v,-126,18,0,3
v,-126,28,3,6
v,0,23,9,6
v,-127,13,0,1
v,-126,13,0,0
v,0,18,2,0
v,-120,28,9,1
v,-64,19,4,4
v,-112,28,9,2
v,-80,19,4,5
v,-32,28,9,3
v,-116,19,4,6
v,-112,18,0,0
v,0,28,9,4
v,-125,19,4,7
v,0,19,4,3
v,-122,28,9,0
v,-113,36,7,6
v,-97,39,5,7
v,-16,36,7,7
v,64,39,5,5
v,-32,39,5,6
v,120,7,7,6
v,-124,24,3,4
v,-104,24,3,3
v,-121,7,7,5
v,-127,24,3,6
v,-126,24,3,5
v,64,24,3,1
v,-96,24,3,2
v,64,9,10,0
v,-113,9,8,4
v,0,9,8,6
v,-16,9,8,5
v,-80,40,6,5
v,-113,40,6,4
v,-127,14,8,7
v,-126,16,0,2
v,-124,16,0,1
v,-120,16,0,0
v,-125,40,4,4
v,-127,16,0,3
v,-116,19,9,5
v,64,40,6,6
v,0,40,4,1
v,-80,19,9,6
v,-127,19,9,3
v,-16,40,4,2
v,-116,40,4,3
v,-126,19,9,4
v,-100,23,0,2
v,-124,15,3,0
v,-96,23,0,1
v,-64,23,0,0
v,-120,43,6,3
v,-80,43,6,4
v,64,43,6,5
v,0,15,1,3
v,-126,23,0,3
v,0,16,4,2
v,-65,49,5,1
v,-64,49,5,0
v,-104,16,4,4
v,-32,16,4,3
v,-125,16,4,6
v,-124,16,4,5
v,-127,30,8,3
v,-126,30,8,4
v,-124,30,8,5
v,-120,30,8,6
v,-80,30,8,7
v,-32,15,1,2
v,-72,11,4,1
v,-112,14,4,3
v,-127,23,2,0
v,-104,15,1,1
v,-113,14,4,4
v,-64,11,4,0
v,-124,15,1,0
v,0,14,4,1
v,-124,43,6,2
v,-127,11,4,3
v,-125,13,8,7
v,-125,43,6,1
v,-32,14,4,2
v,-122,11,4,2
v,-32,23,2,1
v,0,23,2,2
v,-125,15,3,1
v,-104,48,6,1
v,-124,48,6,0
v,96,48,6,2
v,0,27,4,7
v,78,26,1,3
v,-121,41,7,2
v,120,41,7,3
v,-121,11,9,2
v,-127,26,1,2
v,-96,19,10,0
v,64,11,9,5
v,-96,11,9,4
v,-104,11,9,3
v,0,19,10,2
v,-64,19,10,1
v,-124,44,6,2
v,-104,44,6,3
v,-32,44,6,4
v,0,44,6,5
v,-127,18,9,3
v,80,18,9,7
v,-104,18,9,6
v,-124,18,9,5
v,-126,18,9,4
v,-125,41,3,0
v,-126,44,6,1
v,-127,44,6,0
v,-32,23,10,0
v,0,23,10,1
v,0,21,4,4
v,-116,21,4,7
v,-112,21,4,6
v,-32,21,4,5
v,-16,30,1,1
v,14,30,1,0
v,96,1,8,0
v,-96,29,9,2
v,64,29,9,3
v,-124,29,9,0
v,-104,29,9,1
v,-127,20,1,1
v,-126,20,1,2
v,-124,20,1,3
v,0,26,9,5
v,-96,26,9,3
v,-64,26,9,4
v,-120,29,2,0
v,-125,22,3,4
v,-116,22,3,3
v,-112,22,3,2
v,-126,29,2,2
v,-32,22,3,1
v,-124,29,2,1
v,-122,26,9,1
v,-16,3,6,1
v,0,22,3,0
v,-127,29,2,3
v,-113,3,6,2
v,-104,26,9,2
v,-127,29,0,0
v,-127,26,9,0
v,0,3,6,0
v,64,25,4,7
v,124,28,1,2
v,-125,28,1,1
v,-128,0,0,0
v,-126,39,3,1
v,-127,39,3,2
v,-124,39,3,0
v,0,36,5,7
v,-120,7,9,1
v,-122,7,9,0
v,64,36,9,0
v,112,7,9,2
v,-114,25,8,7
v,-127,25,8,6
v,-127,5,7,3
v,3,24,1,3
v,126,5,7,4
v,-127,24,9,1
v,-122,24,9,2
v,-104,24,9,3
v,-32,24,9,4
v,0,24,9,5
v,-96,22,10,0
v,-96,16,10,0
v,-64,16,10,1
v,0,16,10,2
v,64,22,10,1
v,0,17,5,7
v,-64,10,10,0
v,0,10,10,1
v,96,17,9,7
v,0,20,9,7
v,-32,20,9,6
v,-124,17,9,5
v,-104,17,9,6
v,-104,20,9,5
v,-122,20,9,4
v,-127,17,9,3
v,-126,17,9,4
v,-127,20,9,3
v,-124,44,4,1
v,-104,44,4,0
v,64,13,9,6
v,-96,13,9,5
v,-125,44,4,2
v,-100,13,9,4
v,-121,32,2,1
v,-127,32,2,2
v,-126,13,9,3
v,-127,13,9,2
v,-120,32,2,0
v,-113,41,5,6
v,0,41,5,4
v,-16,41,5,5
v,120,42,7,2
v,-121,42,7,1
v,-113,47,5,3
v,-112,47,5,2
v,-96,47,5,1
v,64,47,5,0
v,-128,47,5,4
v,64,35,4,4
v,-125,20,3,3
v,-96,35,4,5
v,-116,20,3,2
v,-125,35,2,0
v,-100,35,4,6
v,-80,20,3,1
v,-125,35,4,7
v,-64,20,3,0
v,-125,30,3,7
v,-100,30,3,6
v,-96,30,3,5
v,64,30,3,4
v,0,37,8,4
v,-104,21,0,2
v,-96,21,0,1
v,-116,21,0,3
v,-64,21,0,0
v,-8,37,8,3
v,-124,37,8,2
v,-125,37,8,1
v,0,8,5,1
v,0,38,8,4
v,-32,8,5,2
v,-64,38,8,3
v,-65,8,5,3
v,-72,38,8,2
v,-122,38,8,1
v,-127,38,8,0
v,-65,37,6,7
v,-112,46,5,2
v,96,46,5,1
v,-121,46,5,4
v,-120,46,5,3
v,-124,6,9,0
v,-8,6,9,1
v,64,21,9,6
v,0,6,9,2
v,0,34,9,2
v,-116,21,9,4
v,-80,21,9,5
v,-127,21,9,2
v,-96,34,9,0
v,-126,21,9,3
v,-64,34,9,1
v,-126,19,0,3
v,-124,19,0,2
v,-120,19,0,1
v,-112,19,0,0
v,-126,34,2,0
v,-127,34,2,1
v,-126,32,8,4
v,112,10,6,5
v,-72,10,4,0
v,-127,32,8,3
v,-116,10,6,6
v,-64,32,8,7
v,-116,10,4,1
v,-80,32,8,6
v,-125,10,6,7
v,-125,10,4,2
v,-116,32,8,5
v,-127,25,1,2
